15015       -53         -42         1           150         1           -6          17
-53         14992       7           0           -36         2           -5          35
-42         7           14750       3           -60         0           47          -4
1           0           3           14993       1           0           -4          0
150         -36         -60         1           15015       1           21          -3
1           2           0           0           1           14970       0           -4
-6          -5          47          -4          21          0           14881       3
17          35          -4          0           -3          -4          3           14815
