15015       -53         -42         1           150         1           -6          17          -1.1031     1.9926      1.3387      -4.3091     -2.915      -0.67686    -1.5486     -2.0653     1.0008      -2.785      -1.6183     0.10156     -0.67161    
-53         14992       7           0           -36         2           -5          35          1.8109      -2.1962     -0.25086    1.6818      6.9815      0.48979     2.4909      -0.86209    -1.4461     2.0062      0.23237     -0.2978     0.71177     
-42         7           14750       3           -60         0           47          -4          -0.52865    -0.18484    1.3118      -2.6368     -2.4051     -0.65209    -1.0744     0.4988      0.27227     -1.3592     -1.2744     0.42237     -0.68111    
1           0           3           14993       1           0           -4          0           2.1904      -1.34       -0.58192    1.0182      8.8576      0.6781      5.2721      -0.55648    -2.0426     1.6911      0.078759    -0.7496     0.97352     
150         -36         -60         1           15015       1           21          -3          0.98219     -0.46067    -0.87715    2.3026      3.7582      0.7326      1.3744      -2.2244     -0.29902    1.1091      0.058774    -0.68041    0.66903     
1           2           0           0           1           14970       0           -4          0.23278     -0.15054    0.04753     0.61129     0.20873     0.02885     0.092035    -0.74023    -0.0087713  0.040245    -0.62581    -0.1371     0.084871    
-6          -5          47          -4          21          0           14881       3           -0.38259    -0.45536    0.39622     -0.42394    -7.4972     -1.1221     -1.3944     7.499       0.3581      -0.52175    1.1023      1.1676      -0.64272    
17          35          -4          0           -3          -4          3           14815       -0.17204    0.96994     -0.84105    0.016595    0.4786      0.35675     0.098367    0.49899     0.54793     -0.43724    1.079       -0.25954    0.13448     
-1.1031     1.8109      -0.52865    2.1904      0.98219     0.23278     -0.38259    -0.17204    14940       -4          -1          -0.2        -1.6        8.4         8.7         1.3         -5          2.4         -1.1        -0.1        0.3         
1.9926      -2.1962     -0.18484    -1.34       -0.46067    -0.15054    -0.45536    0.96994     -4          14990       -21.9       40.5        0.6         -4.9        -4.4        1.1         11.9        -8.1        7           -4          -0.5        
1.3387      -0.25086    1.3118      -0.58192    -0.87715    0.04753     0.39622     -0.84105    -1          -21.9       14890       -12.1       -1.3        -0.5        -3          -2.5        -2.3        -9.1        -3.2        10.1        2.1         
-4.3091     1.6818      -2.6368     1.0182      2.3026      0.61129     -0.42394    0.016595    -0.2        40.5        -12.1       14760       1.3         2.1         1.3         3.4         -1.4        11.2        1.5         -1.7        1.6         
-2.915      6.9815      -2.4051     8.8576      3.7582      0.20873     -7.4972     0.4786      -1.6        0.6         -1.3        1.3         14840       -7.1        -43.3       -8.2        12          -1.8        -0.4        1.2         -1.9        
-0.67686    0.48979     -0.65209    0.6781      0.7326      0.02885     -1.1221     0.35675     8.4         -4.9        -0.5        2.1         -7.1        14990       20          6.7         -15.2       7           2.3         -3.6        4.3         
-1.5486     2.4909      -1.0744     5.2721      1.3744      0.092035    -1.3944     0.098367    8.7         -4.4        -3          1.3         -43.3       20          14750       -5.9        40.9        -1.2        -4.3        18.7        -12.7       
-2.0653     -0.86209    0.4988      -0.55648    -2.2244     -0.74023    7.499       0.49899     1.3         1.1         -2.5        3.4         -8.2        6.7         -5.9        14880       6.1         45.3        22.8        -14.1       5.9         
1.0008      -1.4461     0.27227     -2.0426     -0.29902    -0.0087713  0.3581      0.54793     -5          11.9        -2.3        -1.4        12          -15.2       40.9        6.1         14740       -27.5       63.8        2.3         -2.3        
-2.785      2.0062      -1.3592     1.6911      1.1091      0.040245    -0.52175    -0.43724    2.4         -8.1        -9.1        11.2        -1.8        7           -1.2        45.3        -27.5       15140       -41.6       -7.1        4.8         
-1.6183     0.23237     -1.2744     0.078759    0.058774    -0.62581    1.1023      1.079       -1.1        7           -3.2        1.5         -0.4        2.3         -4.3        22.8        63.8        -41.6       14990       -14.4       6.8         
0.10156     -0.2978     0.42237     -0.7496     -0.68041    -0.1371     1.1676      -0.25954    -0.1        -4          10.1        -1.7        1.2         -3.6        18.7        -14.1       2.3         -7.1        -14.4       14950       -31.1       
-0.67161    0.71177     -0.68111    0.97352     0.66903     0.084871    -0.64272    0.13448     0.3         -0.5        2.1         1.6         -1.9        4.3         -12.7       5.9         -2.3        4.8         6.8         -31.1       15010       
