15015       -53         -42         1           150         1           -6          17          0.40161     -1.4649     0.89891     -0.4086     -0.86622    0.86671     2.2378      4.1115      0.75243     1.4026      -2.0584     -0.35704    1.3528      0.21694     -0.66779    0.405       
-53         14992       7           0           -36         2           -5          35          -0.11969    0.98188     -0.32142    -0.5469     1.2121      -0.72241    -1.9692     -2.0327     -0.77252    -0.96104    0.37492     0.19246     -1.211      -1.3385     0.25023     -0.58115    
-42         7           14750       3           -60         0           47          -4          0.33942     -1.7222     1.789       -2.3823     0.035219    0.67378     1.4562      7.0621      0.40442     2.5474      -0.11915    -1.5846     2.0405      0.66934     -0.29518    0.094266    
1           0           3           14993       1           0           -4          0           0.077828    -0.13225    0.22253     -0.23504    0.1032      0.093807    0.52629     0.31687     -0.078936   0.086131    -0.64167    -0.071842   0.12398     -0.48302    -0.17604    -0.1384     
150         -36         -60         1           15015       1           21          -3          0.013663    1.4463      -0.79368    1.3482      1.097       -0.86105    -3.4847     -1.9495     -1.02       -1.5248     -2.7101     1.027       -2.6726     -2.0323     -0.16633    -0.55421    
1           2           0           0           1           14970       0           -4          4.5244      -5.0231     2.5227      -1.568      -0.33493    1.1193      0.95533     8.2559      0.076881    6.0786      -0.42514    -2.2297     1.8652      0.25995     -1.1122     0.14734     
-6          -5          47          -4          21          0           14881       3           0.024413    -0.30913    -0.20208    1.0212      -0.82923    0.28609     0.12581     0.2671      0.51182     0.10065     0.06046     0.59504     -0.31573    0.42303     -0.079396   0.49101     
17          35          -4          0           -3          -4          3           14815       -0.83209    0.9269      -0.4545     -0.01772    0.2008      -0.48025    -0.34335    -10.317     -0.42347    -1.1868     6.9694      0.64678     -0.63788    0.89484     1.3485      -0.042623   
0.40161     -0.11969    0.33942     0.077828    0.013663    4.5244      0.024413    -0.83209    14684       -49         -12         4           -2          -4          -1          4           -6          -2          -2          3           -2          -1          -2          -1          
-1.4649     0.98188     -1.7222     -0.13225    1.4463      -5.0231     -0.30913    0.9269      -49         15060       -83         20          5           -6          -5          5           -20         -13         -4          6           -9          -2          4           -2          
0.89891     -0.32142    1.789       0.22253     -0.79368    2.5227      -0.20208    -0.4545     -12         -83         14793       0           -6          -59         -3          -8          32          15          2           -10         4           -2          -1          -3          
-0.4086     -0.5469     -2.3823     -0.23504    1.3482      -1.568      1.0212      -0.01772    4           20          0           14950       -47         -13         65          5           -11         -6          -1          21          -35         8           -3          0           
-0.86622    1.2121      0.035219    0.1032      1.097       -0.33493    -0.82923    0.2008      -2          5           -6          -47         14810       72          -20         -2          1           -5          -3          -6          -7          -4          13          11          
0.86671     -0.72241    0.67378     0.093807    -0.86105    1.1193      0.28609     -0.48025    -4          -6          -59         -13         72          14880       7           -3          8           -4          6           -4          9           4           1           9           
2.2378      -1.9692     1.4562      0.52629     -3.4847     0.95533     0.12581     -0.34335    -1          -5          -3          65          -20         7           15130       0           4           1           6           -2          17          3           -2          2           
4.1115      -2.0327     7.0621      0.31687     -1.9495     8.2559      0.2671      -10.317     4           5           -8          5           -2          -3          0           14970       -17         -83         -16         20          -5          -3          3           -1          
0.75243     -0.77252    0.40442     -0.078936   -1.02       0.076881    0.51182     -0.42347    -6          -20         32          -11         1           8           4           -17         14810       48          9           -16         10          4           -2          6           
1.4026      -0.96104    2.5474      0.086131    -1.5248     6.0786      0.10065     -1.1868     -2          -13         15          -6          -5          -4          1           -83         48          15270       -13         52          0           -6          32          -7          
-2.0584     0.37492     -0.11915    -0.64167    -2.7101     -0.42514    0.06046     6.9694      -2          -4          2           -1          -3          6           6           -16         9           -13         14710       -12         56          37          -18         8           
-0.35704    0.19246     -1.5846     -0.071842   1.027       -2.2297     0.59504     0.64678     3           6           -10         21          -6          -4          -2          20          -16         52          -12         15060       -64         95          25          2           
1.3528      -1.211      2.0405      0.12398     -2.6726     1.8652      -0.31573    -0.63788    -2          -9          4           -35         -7          9           17          -5          10          0           56          -64         14860       -63         -3          2           
0.21694     -1.3385     0.66934     -0.48302    -2.0323     0.25995     0.42303     0.89484     -1          -2          -2          8           -4          4           3           -3          4           -6          37          95          -63         14880       -12         13          
-0.66779    0.25023     -0.29518    -0.17604    -0.16633    -1.1122     -0.079396   1.3485      -2          4           -1          -3          13          1           -2          3           -2          32          -18         25          -3          -12         14970       -8          
0.405       -0.58115    0.094266    -0.1384     -0.55421    0.14734     0.49101     -0.042623   -1          -2          -3          0           11          9           2           -1          6           -7          8           2           2           13          -8          14530       
